dataset,param_set,channel,group_label,line_name,wavelength_nm,line_area,line_peak,line_points
diameter,1mm,Middle,diameter | 1mm | Middle,Hbeta_486,486.1,0.0,0.0,1.0
diameter,1mm,Middle,diameter | 1mm | Middle,N_672,672.0,,,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,Ar_750,750.4,,,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,O_777,777.2,,,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,OH_308,308.0,6.499999999999959e-09,6.499999999999959e-09,1.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2_337,337.0,6.049999999999998e-06,6.049999999999998e-06,1.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_349.9,349.9,0.0,0.0,1.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_353.6,353.6,0.0,0.0,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_357.6,357.6,0.0,0.0,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_370.9,370.9,2.4749999999999993e-08,2.4749999999999993e-08,1.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_375.4,375.4,0.0,0.0,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2_379,379.0,3.544999999999999e-06,3.544999999999999e-06,1.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_380.4,380.4,0.0,0.0,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2plus_391,391.44,0.0,0.0,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_394.2,394.2,4e-07,8e-07,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_399.7,399.7,2.05e-09,4.1e-09,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2CB_405.8,405.8,7.499999999999902e-11,1.4999999999999803e-10,2.0
diameter,1mm,Tip,diameter | 1mm | Tip,N2plus_428,428.0,0.0,0.0,1.0
diameter,1mm,Tip,diameter | 1mm | Tip,Hbeta_486,486.1,0.0,0.0,1.0
diameter,1mm,Tip,diameter | 1mm | Tip,N_672,672.0,,,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,Ar_750,750.4,,,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,O_777,777.2,,,0.0
