dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
diameter,0.5mm,Middle,269.0,4.08e-07,,1
diameter,0.5mm,Middle,270.0,3.92e-07,,1
diameter,0.5mm,Middle,271.0,3.72e-07,,1
diameter,0.5mm,Middle,272.0,3.54e-07,,1
diameter,0.5mm,Middle,273.0,3.38e-07,,1
diameter,0.5mm,Middle,274.0,3.23e-07,,1
diameter,0.5mm,Middle,275.0,3.1e-07,,1
diameter,0.5mm,Middle,276.0,2.93e-07,,1
diameter,0.5mm,Middle,277.0,2.77e-07,,1
diameter,0.5mm,Middle,278.0,2.63e-07,,1
diameter,0.5mm,Middle,279.0,2.51e-07,,1
diameter,0.5mm,Middle,280.0,2.39e-07,,1
diameter,0.5mm,Middle,281.0,2.32e-07,,1
diameter,0.5mm,Middle,282.0,2.26e-07,,1
diameter,0.5mm,Middle,283.0,2.2e-07,,1
diameter,0.5mm,Middle,284.0,2.14e-07,,1
diameter,0.5mm,Middle,285.0,2.08e-07,,1
diameter,0.5mm,Middle,286.0,2.08e-07,,1
diameter,0.5mm,Middle,287.0,2.08e-07,,1
diameter,0.5mm,Middle,288.0,2.08e-07,,1
diameter,0.5mm,Middle,289.0,2.07e-07,,1
diameter,0.5mm,Middle,290.0,2.07e-07,,1
diameter,0.5mm,Middle,291.0,2.04e-07,,1
diameter,0.5mm,Middle,292.0,2.04e-07,,1
diameter,0.5mm,Middle,293.0,2.01e-07,,1
diameter,0.5mm,Middle,294.0,1.9e-07,,1
diameter,0.5mm,Middle,295.0,1.94e-07,,1
diameter,0.5mm,Middle,296.0,2.21e-07,,1
diameter,0.5mm,Middle,297.0,1.86e-07,,1
diameter,0.5mm,Middle,298.0,7.05e-08,,1
diameter,0.5mm,Middle,299.0,2.08e-07,,1
diameter,0.5mm,Middle,300.0,5.83e-07,,1
diameter,0.5mm,Middle,301.0,2.83e-07,,1
diameter,0.5mm,Middle,302.0,8.85e-07,,1
diameter,0.5mm,Middle,303.0,1.45e-06,,1
diameter,0.5mm,Middle,304.0,9.49e-06,,1
diameter,0.5mm,Middle,305.0,1.74e-05,,1
diameter,0.5mm,Middle,306.0,2.12e-05,,1
diameter,0.5mm,Middle,307.0,1.86e-05,,1
diameter,0.5mm,Middle,308.0,1.5e-05,,1
diameter,0.5mm,Middle,309.0,2.29e-05,,1
diameter,0.5mm,Middle,310.0,4.33e-05,,1
diameter,0.5mm,Middle,311.0,6.58e-05,,1
diameter,0.5mm,Middle,312.0,8.93e-05,,1
diameter,0.5mm,Middle,313.0,0.000118,,1
diameter,0.5mm,Middle,314.0,0.000136,,1
diameter,0.5mm,Middle,315.0,0.000119,,1
diameter,0.5mm,Middle,316.0,8.05e-05,,1
diameter,0.5mm,Middle,317.0,4.6e-05,,1
diameter,0.5mm,Middle,318.0,2.22e-05,,1
diameter,0.5mm,Middle,319.0,7.32e-06,,1
diameter,0.5mm,Middle,320.0,1.66e-07,,1
diameter,0.5mm,Middle,321.0,1.64e-07,,1
diameter,0.5mm,Middle,322.0,1.62e-07,,1
diameter,0.5mm,Middle,323.0,3.36e-07,,1
diameter,0.5mm,Middle,324.0,8.49e-08,,1
diameter,0.5mm,Middle,325.0,1.37e-07,,1
diameter,0.5mm,Middle,326.0,3.3e-08,,1
diameter,0.5mm,Middle,327.0,2.74e-07,,1
diameter,0.5mm,Middle,328.0,5.15e-07,,1
diameter,0.5mm,Middle,329.0,1.41e-06,,1
diameter,0.5mm,Middle,330.0,7.03e-07,,1
diameter,0.5mm,Middle,331.0,1.38e-05,,1
diameter,0.5mm,Middle,332.0,2.65e-05,,1
diameter,0.5mm,Middle,333.0,8.1e-05,,1
diameter,0.5mm,Middle,334.0,0.000139,,1
diameter,0.5mm,Middle,335.0,0.000178,,1
diameter,0.5mm,Middle,336.0,0.000184,,1
diameter,0.5mm,Middle,337.0,0.000157,,1
diameter,0.5mm,Middle,338.0,0.000117,,1
diameter,0.5mm,Middle,339.0,7.23e-05,,1
diameter,0.5mm,Middle,340.0,3.04e-05,,1
diameter,0.5mm,Middle,341.0,1.97e-06,,1
diameter,0.5mm,Middle,342.0,9.96e-07,,1
diameter,0.5mm,Middle,343.0,1.17e-06,,1
diameter,0.5mm,Middle,344.0,1.35e-06,,1
diameter,0.5mm,Middle,345.0,4e-08,,1
diameter,0.5mm,Middle,346.0,9.18e-08,,1
