dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,100H.cont.trial,bulk,493.0,4.82265e-08,,1
air,100H.cont.trial,bulk,494.0,4.85575e-08,,1
air,100H.cont.trial,bulk,495.0,4.89658e-08,,1
air,100H.cont.trial,bulk,496.0,4.93094e-08,,1
air,100H.cont.trial,bulk,497.0,4.93716e-08,,1
air,100H.cont.trial,bulk,498.0,4.96028e-08,,1
air,100H.cont.trial,bulk,499.0,5.09391e-08,,1
air,100H.cont.trial,bulk,500.0,5.13396e-08,,1
air,1H.1A-CONT,bulk,200.0,3.16305e-05,,1
air,1H.1A-CONT,bulk,201.0,2.64654e-05,,1
air,1H.1A-CONT,bulk,202.0,2.27504e-05,,1
air,1H.1A-CONT,bulk,203.0,1.995e-05,,1
air,1H.1A-CONT,bulk,204.0,1.77634e-05,,1
air,1H.1A-CONT,bulk,205.0,1.60088e-05,,1
air,1H.1A-CONT,bulk,206.0,1.44979e-05,,1
air,1H.1A-CONT,bulk,207.0,1.32476e-05,,1
air,1H.1A-CONT,bulk,208.0,1.21959e-05,,1
air,1H.1A-CONT,bulk,209.0,1.12988e-05,,1
air,1H.1A-CONT,bulk,210.0,1.05247e-05,,1
air,1H.1A-CONT,bulk,211.0,9.36856e-06,,1
air,1H.1A-CONT,bulk,212.0,8.4413e-06,,1
air,1H.1A-CONT,bulk,213.0,7.68106e-06,,1
air,1H.1A-CONT,bulk,214.0,7.04644e-06,,1
air,1H.1A-CONT,bulk,215.0,6.50869e-06,,1
air,1H.1A-CONT,bulk,216.0,5.63591e-06,,1
air,1H.1A-CONT,bulk,217.0,4.96952e-06,,1
air,1H.1A-CONT,bulk,218.0,4.44406e-06,,1
air,1H.1A-CONT,bulk,219.0,4.01909e-06,,1
air,1H.1A-CONT,bulk,220.0,3.66831e-06,,1
air,1H.1A-CONT,bulk,221.0,3.28927e-06,,1
air,1H.1A-CONT,bulk,222.0,2.98123e-06,,1
air,1H.1A-CONT,bulk,223.0,2.72594e-06,,1
air,1H.1A-CONT,bulk,224.0,2.51093e-06,,1
air,1H.1A-CONT,bulk,225.0,2.32735e-06,,1
air,1H.1A-CONT,bulk,226.0,2.23716e-06,,1
air,1H.1A-CONT,bulk,227.0,2.15371e-06,,1
air,1H.1A-CONT,bulk,228.0,2.07623e-06,,1
air,1H.1A-CONT,bulk,229.0,2.00412e-06,,1
air,1H.1A-CONT,bulk,230.0,1.93692e-06,,1
air,1H.1A-CONT,bulk,231.0,1.84398e-06,,1
air,1H.1A-CONT,bulk,232.0,1.75926e-06,,1
air,1H.1A-CONT,bulk,233.0,1.68181e-06,,1
air,1H.1A-CONT,bulk,234.0,1.61204e-06,,1
air,1H.1A-CONT,bulk,235.0,1.54808e-06,,1
air,1H.1A-CONT,bulk,236.0,1.40082e-06,,1
air,1H.1A-CONT,bulk,237.0,1.27899e-06,,1
air,1H.1A-CONT,bulk,238.0,1.18981e-06,,1
air,1H.1A-CONT,bulk,239.0,1.1091e-06,,1
air,1H.1A-CONT,bulk,240.0,9.94072e-07,,1
air,1H.1A-CONT,bulk,241.0,8.79524e-07,,1
air,1H.1A-CONT,bulk,242.0,9.25987e-07,,1
air,1H.1A-CONT,bulk,243.0,8.49797e-07,,1
air,1H.1A-CONT,bulk,244.0,3.50455e-07,,1
air,1H.1A-CONT,bulk,245.0,4.10952e-07,,1
air,1H.1A-CONT,bulk,246.0,1.84579e-06,,1
air,1H.1A-CONT,bulk,247.0,1.09173e-06,,1
air,1H.1A-CONT,bulk,248.0,5.17231e-07,,1
air,1H.1A-CONT,bulk,249.0,1.10874e-05,,1
air,1H.1A-CONT,bulk,250.0,2.06538e-05,,1
air,1H.1A-CONT,bulk,251.0,3.44533e-05,,1
air,1H.1A-CONT,bulk,252.0,1.92329e-05,,1
air,1H.1A-CONT,bulk,253.0,9.63368e-06,,1
air,1H.1A-CONT,bulk,254.0,5.38348e-06,,1
air,1H.1A-CONT,bulk,255.0,1.11799e-06,,1
air,1H.1A-CONT,bulk,256.0,1.43073e-06,,1
air,1H.1A-CONT,bulk,257.0,3.04476e-07,,1
air,1H.1A-CONT,bulk,258.0,3.58236e-07,,1
air,1H.1A-CONT,bulk,259.0,4.81168e-07,,1
air,1H.1A-CONT,bulk,260.0,2.89284e-07,,1
air,1H.1A-CONT,bulk,261.0,1.00143e-06,,1
air,1H.1A-CONT,bulk,262.0,1.48296e-06,,1
air,1H.1A-CONT,bulk,263.0,7.31277e-07,,1
air,1H.1A-CONT,bulk,264.0,5.79144e-06,,1
air,1H.1A-CONT,bulk,265.0,1.07161e-05,,1
air,1H.1A-CONT,bulk,266.0,2.64612e-05,,1
air,1H.1A-CONT,bulk,267.0,2.07066e-05,,1
air,1H.1A-CONT,bulk,268.0,3.29618e-06,,1
air,1H.1A-CONT,bulk,269.0,1.58053e-06,,1
air,1H.1A-CONT,bulk,270.0,1.37009e-06,,1
air,1H.1A-CONT,bulk,271.0,1.16029e-06,,1
air,1H.1A-CONT,bulk,272.0,3.98212e-07,,1
air,1H.1A-CONT,bulk,273.0,1.53018e-07,,1
air,1H.1A-CONT,bulk,274.0,3.25747e-07,,1
air,1H.1A-CONT,bulk,275.0,3.52862e-07,,1
air,1H.1A-CONT,bulk,276.0,2.89223e-07,,1
air,1H.1A-CONT,bulk,277.0,2.6754e-07,,1
air,1H.1A-CONT,bulk,278.0,2.64692e-07,,1
air,1H.1A-CONT,bulk,279.0,2.52932e-07,,1
air,1H.1A-CONT,bulk,280.0,2.38956e-07,,1
air,1H.1A-CONT,bulk,281.0,2.3191e-07,,1
air,1H.1A-CONT,bulk,282.0,2.25905e-07,,1
air,1H.1A-CONT,bulk,283.0,2.19624e-07,,1
air,1H.1A-CONT,bulk,284.0,2.13568e-07,,1
air,1H.1A-CONT,bulk,285.0,2.07983e-07,,1
air,1H.1A-CONT,bulk,286.0,2.07822e-07,,1
air,1H.1A-CONT,bulk,287.0,2.07627e-07,,1
air,1H.1A-CONT,bulk,288.0,2.07468e-07,,1
air,1H.1A-CONT,bulk,289.0,2.07289e-07,,1
air,1H.1A-CONT,bulk,290.0,2.06968e-07,,1
air,1H.1A-CONT,bulk,291.0,2.04605e-07,,1
air,1H.1A-CONT,bulk,292.0,2.02807e-07,,1
air,1H.1A-CONT,bulk,293.0,2.00336e-07,,1
air,1H.1A-CONT,bulk,294.0,1.96137e-07,,1
air,1H.1A-CONT,bulk,295.0,1.95228e-07,,1
air,1H.1A-CONT,bulk,296.0,1.97487e-07,,1
air,1H.1A-CONT,bulk,297.0,1.86149e-07,,1
air,1H.1A-CONT,bulk,298.0,1.56764e-07,,1
air,1H.1A-CONT,bulk,299.0,1.84358e-07,,1
air,1H.1A-CONT,bulk,300.0,2.65252e-07,,1
air,1H.1A-CONT,bulk,301.0,1.16989e-07,,1
air,1H.1A-CONT,bulk,302.0,2.89139e-07,,1
air,1H.1A-CONT,bulk,303.0,4.5166e-07,,1
air,1H.1A-CONT,bulk,304.0,2.53527e-06,,1
air,1H.1A-CONT,bulk,305.0,5.64963e-06,,1
air,1H.1A-CONT,bulk,306.0,8.42375e-06,,1
air,1H.1A-CONT,bulk,307.0,8.17508e-06,,1
air,1H.1A-CONT,bulk,308.0,6.42779e-06,,1
air,1H.1A-CONT,bulk,309.0,9.55563e-06,,1
air,1H.1A-CONT,bulk,310.0,1.98414e-05,,1
air,1H.1A-CONT,bulk,311.0,3.47604e-05,,1
air,1H.1A-CONT,bulk,312.0,4.59959e-05,,1
air,1H.1A-CONT,bulk,313.0,4.25367e-05,,1
air,1H.1A-CONT,bulk,314.0,3.16171e-05,,1
air,1H.1A-CONT,bulk,315.0,2.91598e-05,,1
air,1H.1A-CONT,bulk,316.0,3.2738e-05,,1
