dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,100H,bulk,441.0,6.287866666666667e-08,6.376551523616332e-10,3
air,100H,bulk,442.0,6.22193e-08,1.255670494198218e-09,3
air,100H,bulk,443.0,6.241970000000001e-08,2.404837000713362e-10,3
air,100H,bulk,444.0,6.204466666666667e-08,3.001163496601475e-10,3
air,100H,bulk,445.0,6.14973e-08,7.912041455907726e-11,3
air,100H,bulk,446.0,6.10017e-08,7.004084522619763e-11,3
air,100H,bulk,447.0,6.05485e-08,2.4067405344157007e-11,3
air,100H,bulk,448.0,6.00618e-08,1.585307541141567e-11,3
air,100H,bulk,449.0,5.9576833333333333e-08,6.981642595643788e-12,3
air,100H,bulk,450.0,5.911e-08,3.4828149534527797e-12,3
air,100H,bulk,451.0,5.8594366666666664e-08,1.985782801144717e-12,3
air,100H,bulk,452.0,5.8085066666666666e-08,7.371114795843045e-13,3
air,100H,bulk,453.0,5.75845e-08,5.291502622102666e-13,3
air,100H,bulk,454.0,5.7093066666666666e-08,1.5275252316334622e-13,3
air,100H,bulk,455.0,5.6610033333333335e-08,1.5275252316334622e-13,3
air,100H,bulk,456.0,5.6024366666666675e-08,5.773502691826393e-14,3
air,100H,bulk,457.0,5.545073333333333e-08,5.773502691826393e-14,3
air,100H,bulk,458.0,5.48888e-08,0.0,3
air,100H,bulk,459.0,5.4338100000000005e-08,8.104681703510989e-24,3
air,100H,bulk,460.0,5.37983e-08,0.0,3
air,100H,bulk,461.0,5.33136e-08,0.0,3
air,100H,bulk,462.0,5.28376e-08,0.0,3
air,100H,bulk,463.0,5.23699e-08,0.0,3
air,100H,bulk,464.0,5.19105e-08,0.0,3
air,100H,bulk,465.0,5.14591e-08,0.0,3
air,100H,bulk,466.0,5.10722e-08,0.0,3
air,100H,bulk,467.0,5.0690999999999994e-08,8.104681703510989e-24,3
air,100H,bulk,468.0,5.03155e-08,0.0,3
air,100H,bulk,469.0,4.99455e-08,0.0,3
air,100H,bulk,470.0,4.95809e-08,0.0,3
air,100H,bulk,471.0,4.92709e-08,0.0,3
air,100H,bulk,472.0,4.89648e-08,0.0,3
air,100H,bulk,473.0,4.8662400000000004e-08,8.104681703510989e-24,3
air,100H,bulk,474.0,4.83637e-08,0.0,3
air,100H,bulk,475.0,4.80687e-08,0.0,3
air,100H,bulk,476.0,4.78076e-08,0.0,3
air,100H,bulk,477.0,4.75493e-08,0.0,3
air,100H,bulk,478.0,4.72937e-08,0.0,3
air,100H,bulk,479.0,4.704089999999999e-08,8.104681703510989e-24,3
air,100H,bulk,480.0,4.67908e-08,0.0,3
air,100H,bulk,481.0,4.67491e-08,0.0,3
air,100H,bulk,482.0,4.670753333333334e-08,5.773502691826393e-14,3
air,100H,bulk,483.0,4.6666066666666675e-08,5.773502691826393e-14,3
air,100H,bulk,484.0,4.662486666666667e-08,1.527525231662343e-13,3
air,100H,bulk,485.0,4.658323333333333e-08,5.773502691826392e-14,3
air,100H,bulk,486.0,4.67106e-08,7.000000000014555e-13,3
air,100H,bulk,487.0,4.684069999999999e-08,2.645751311032574e-13,3
air,100H,bulk,488.0,4.6973433333333335e-08,2.6652079343524054e-12,3
air,100H,bulk,489.0,4.7097866666666664e-08,1.8717193521808165e-12,3
air,100H,bulk,490.0,4.721836666666667e-08,1.0055015332329287e-11,3
air,100H,bulk,491.0,4.757463333333334e-08,1.0490154113898779e-11,3
air,100H,bulk,492.0,4.7943999999999996e-08,3.753758116874072e-11,3
air,100H,bulk,493.0,4.8166599999999995e-08,5.265842762559543e-11,3
air,100H,bulk,494.0,4.8401333333333334e-08,1.372793623722589e-10,3
air,100H,bulk,495.0,4.924913333333333e-08,2.490786488909358e-10,3
air,100H,bulk,496.0,4.986396666666666e-08,4.876102678711082e-10,3
air,100H,bulk,497.0,4.80891e-08,1.1276207385464336e-09,3
air,100H,bulk,498.0,4.77029e-08,1.6704607238723101e-09,3
air,100H,bulk,499.0,5.656053333333333e-08,4.9424878819612014e-09,3
air,100H,bulk,500.0,5.753563333333333e-08,5.447619656632915e-09,3
air,5H..01A,bulk,200.0,3.506893333333333e-05,5.955541231771746e-06,3
air,5H..01A,bulk,201.0,2.67241e-05,4.4808154391806906e-07,3
air,5H..01A,bulk,202.0,2.210636666666667e-05,1.1154984551012767e-06,3
air,5H..01A,bulk,203.0,1.9941166666666668e-05,1.529978213352538e-08,3
air,5H..01A,bulk,204.0,1.7892166666666668e-05,2.2303040898795245e-07,3
air,5H..01A,bulk,205.0,1.6002533333333335e-05,1.085418506076529e-08,3
air,5H..01A,bulk,206.0,1.44714e-05,4.589934640057515e-08,3
air,5H..01A,bulk,207.0,1.3250566666666666e-05,5.1384173957872e-09,3
air,5H..01A,bulk,208.0,1.2201566666666667e-05,9.814954576223642e-09,3
air,5H..01A,bulk,209.0,1.12977e-05,1.9052558883250525e-09,3
air,5H..01A,bulk,210.0,1.0522933333333332e-05,3.0599564267048796e-09,3
air,5H..01A,bulk,211.0,9.369466666666666e-06,1.5703927321960956e-09,3
air,5H..01A,bulk,212.0,8.443343333333333e-06,3.5391571501325374e-09,3
air,5H..01A,bulk,213.0,7.678456666666667e-06,4.509105602371475e-09,3
air,5H..01A,bulk,214.0,7.040956666666668e-06,9.506073497156244e-09,3
air,5H..01A,bulk,215.0,6.5185599999999995e-06,1.7104002455565377e-08,3
air,5H..01A,bulk,216.0,5.6510133333333335e-06,2.6168401428695295e-08,3
air,5H..01A,bulk,217.0,4.93628e-06,5.759069021986117e-08,3
air,5H..01A,bulk,218.0,4.404376666666666e-06,6.875087078236399e-08,3
air,5H..01A,bulk,219.0,4.134330000000001e-06,1.9965349884236916e-07,3
air,5H..01A,bulk,220.0,3.77146e-06,1.7871300484296045e-07,3
air,5H..01A,bulk,221.0,2.8947466666666667e-06,6.835163315044734e-07,3
air,5H..01A,bulk,222.0,2.7407766666666665e-06,4.165899785560538e-07,3
air,5H..01A,bulk,223.0,4.065106666666666e-06,2.320128272689537e-06,3
air,5H..01A,bulk,224.0,2.9905433333333333e-06,8.30939838094993e-07,3
air,5H..01A,bulk,225.0,2.287943333333333e-06,7.042175823801422e-08,3
air,5H..01A,bulk,226.0,1.732490666666667e-06,8.743467636363351e-07,3
