dataset,sample_id,param_set,trial,channel,wavelength_nm,irradiance_W_m2_nm
air,air__100H.1__bulk,100H,1,bulk,409.0,6.0283e-08
air,air__100H.1__bulk,100H,1,bulk,410.0,6.06886e-08
air,air__100H.1__bulk,100H,1,bulk,411.0,6.1051e-08
air,air__100H.1__bulk,100H,1,bulk,412.0,6.1323e-08
air,air__100H.1__bulk,100H,1,bulk,413.0,6.15104e-08
air,air__100H.1__bulk,100H,1,bulk,414.0,6.19402e-08
air,air__100H.1__bulk,100H,1,bulk,415.0,6.26953e-08
air,air__100H.1__bulk,100H,1,bulk,416.0,6.24374e-08
air,air__100H.1__bulk,100H,1,bulk,417.0,6.11729e-08
air,air__100H.1__bulk,100H,1,bulk,418.0,6.41875e-08
air,air__100H.1__bulk,100H,1,bulk,419.0,7.00154e-08
air,air__100H.1__bulk,100H,1,bulk,420.0,5.79617e-08
air,air__100H.1__bulk,100H,1,bulk,421.0,3.96294e-08
air,air__100H.1__bulk,100H,1,bulk,422.0,9.44194e-08
air,air__100H.1__bulk,100H,1,bulk,423.0,1.53462e-07
air,air__100H.1__bulk,100H,1,bulk,424.0,7.69396e-08
air,air__100H.1__bulk,100H,1,bulk,425.0,4.22857e-07
air,air__100H.1__bulk,100H,1,bulk,426.0,7.69745e-07
air,air__100H.1__bulk,100H,1,bulk,427.0,2.35687e-06
air,air__100H.1__bulk,100H,1,bulk,428.0,2.17983e-06
air,air__100H.1__bulk,100H,1,bulk,429.0,5.24134e-07
air,air__100H.1__bulk,100H,1,bulk,430.0,2.62472e-07
air,air__100H.1__bulk,100H,1,bulk,431.0,2.10262e-07
air,air__100H.1__bulk,100H,1,bulk,432.0,1.58117e-07
air,air__100H.1__bulk,100H,1,bulk,433.0,8.05304e-08
air,air__100H.1__bulk,100H,1,bulk,434.0,4.04315e-08
air,air__100H.1__bulk,100H,1,bulk,435.0,6.28732e-08
air,air__100H.1__bulk,100H,1,bulk,436.0,7.10666e-08
air,air__100H.1__bulk,100H,1,bulk,437.0,6.44847e-08
air,air__100H.1__bulk,100H,1,bulk,438.0,6.25055e-08
air,air__100H.1__bulk,100H,1,bulk,439.0,6.39264e-08
air,air__100H.1__bulk,100H,1,bulk,440.0,6.39537e-08
air,air__100H.1__bulk,100H,1,bulk,441.0,6.30866e-08
air,air__100H.1__bulk,100H,1,bulk,442.0,6.26288e-08
air,air__100H.1__bulk,100H,1,bulk,443.0,6.23413e-08
air,air__100H.1__bulk,100H,1,bulk,444.0,6.19468e-08
air,air__100H.1__bulk,100H,1,bulk,445.0,6.15231e-08
air,air__100H.1__bulk,100H,1,bulk,446.0,6.10245e-08
air,air__100H.1__bulk,100H,1,bulk,447.0,6.05407e-08
air,air__100H.1__bulk,100H,1,bulk,448.0,6.00566e-08
air,air__100H.1__bulk,100H,1,bulk,449.0,5.95791e-08
air,air__100H.1__bulk,100H,1,bulk,450.0,5.91111e-08
air,air__100H.1__bulk,100H,1,bulk,451.0,5.85937e-08
air,air__100H.1__bulk,100H,1,bulk,452.0,5.80848e-08
air,air__100H.1__bulk,100H,1,bulk,453.0,5.75847e-08
air,air__100H.1__bulk,100H,1,bulk,454.0,5.70931e-08
air,air__100H.1__bulk,100H,1,bulk,455.0,5.661e-08
air,air__100H.1__bulk,100H,1,bulk,456.0,5.60244e-08
air,air__100H.1__bulk,100H,1,bulk,457.0,5.54507e-08
air,air__100H.1__bulk,100H,1,bulk,458.0,5.48888e-08
air,air__100H.1__bulk,100H,1,bulk,459.0,5.43381e-08
air,air__100H.1__bulk,100H,1,bulk,460.0,5.37983e-08
air,air__100H.1__bulk,100H,1,bulk,461.0,5.33136e-08
air,air__100H.1__bulk,100H,1,bulk,462.0,5.28376e-08
air,air__100H.1__bulk,100H,1,bulk,463.0,5.23699e-08
air,air__100H.1__bulk,100H,1,bulk,464.0,5.19105e-08
air,air__100H.1__bulk,100H,1,bulk,465.0,5.14591e-08
air,air__100H.1__bulk,100H,1,bulk,466.0,5.10722e-08
air,air__100H.1__bulk,100H,1,bulk,467.0,5.0691e-08
air,air__100H.1__bulk,100H,1,bulk,468.0,5.03155e-08
air,air__100H.1__bulk,100H,1,bulk,469.0,4.99455e-08
air,air__100H.1__bulk,100H,1,bulk,470.0,4.95809e-08
air,air__100H.1__bulk,100H,1,bulk,471.0,4.92709e-08
air,air__100H.1__bulk,100H,1,bulk,472.0,4.89648e-08
air,air__100H.1__bulk,100H,1,bulk,473.0,4.86624e-08
air,air__100H.1__bulk,100H,1,bulk,474.0,4.83637e-08
air,air__100H.1__bulk,100H,1,bulk,475.0,4.80687e-08
air,air__100H.1__bulk,100H,1,bulk,476.0,4.78076e-08
air,air__100H.1__bulk,100H,1,bulk,477.0,4.75493e-08
air,air__100H.1__bulk,100H,1,bulk,478.0,4.72937e-08
air,air__100H.1__bulk,100H,1,bulk,479.0,4.70409e-08
air,air__100H.1__bulk,100H,1,bulk,480.0,4.67908e-08
air,air__100H.1__bulk,100H,1,bulk,481.0,4.67491e-08
air,air__100H.1__bulk,100H,1,bulk,482.0,4.67075e-08
