peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
7,diameter,0.5mm,Middle,1,306.0,306.09375,306.1,2.12e-05,2.1228125e-05,1,0.009410000000002583,306.09059,306.09059,306.090557,,,,Ar II,Ar,II,Ar II,,,live_nist
7,diameter,0.5mm,Middle,1,306.0,306.09375,306.1,2.12e-05,2.1228125e-05,2,0.1642999999999688,306.2643,306.2643,306.2643,,,,Ar II,Ar,II,Ar II,,,live_nist
7,diameter,0.5mm,Middle,1,306.0,306.09375,306.1,2.12e-05,2.1228125e-05,3,0.17070000000001073,305.9293,305.9293,305.9284,,,,O II,O,II,O II,,,live_nist
8,diameter,0.5mm,Middle,1,473.0,473.4335232668566,473.4,1.39e-05,1.488951685660019e-05,1,0.0262000000000171,473.4262,473.4262,473.426281,260000.0,C,,C I,C,I,C I,,260000.0,live_nist
8,diameter,0.5mm,Middle,1,473.0,473.4335232668566,473.4,1.39e-05,1.488951685660019e-05,2,0.09196700000001101,473.491967,,473.491967,3100.0,D,,C I,C,I,C I,,3100.0,live_nist
8,diameter,0.5mm,Middle,1,473.0,473.4335232668566,473.4,1.39e-05,1.488951685660019e-05,3,0.11650000000003047,473.5165,473.5165,473.516514,46000.0,C,,C I,C,I,C I,,46000.0,live_nist
9,diameter,0.5mm,Middle,1,398.0,398.44459833795014,398.4,1.2e-05,1.2713580332409972e-05,1,0.12859999999994898,398.2714,398.2714,398.27141,41600000.0,B,,O II,O,II,O II,,41600000.0,live_nist
9,diameter,0.5mm,Middle,1,398.0,398.44459833795014,398.4,1.2e-05,1.2713580332409972e-05,2,0.1418000000000461,398.5418,398.5418,398.541,668000.0,C,,O II,O,II,O II,,668000.0,live_nist
9,diameter,0.5mm,Middle,1,398.0,398.44459833795014,398.4,1.2e-05,1.2713580332409972e-05,3,0.287900000000036,398.6879,398.6879,398.688,,,,C I,C,I,C I,,,live_nist
10,diameter,0.5mm,Middle,1,373.0,373.32608695652175,373.3,9.78e-06,9.792228260869565e-06,1,0.0011837000000127773,373.3011837,,373.3011837,165500.0,AAA,,He I,He,I,He I,,165500.0,live_nist
