Name,Current Measurement,Current Measurement,Current Measurement,1H.9A-CONT
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:32am,00:34am,00:36am,00:36am
Irradiance total,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Irradiance UVA,1.32E-03,1.41E-03,1.21E-03,1.21E-03
Irradiance UVB,2.50E-04,3.97E-04,2.98E-04,2.98E-04
Irradiance UVC,4.85E-04,2.35E-03,4.99E-04,4.99E-04
Irradiance @253.7nm,1.04E-04,5.54E-06,5.52E-06,5.52E-06
Irradiance @365nm,1.36E-05,2.60E-06,3.50E-06,3.50E-06
Irradiance WL range,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Spectral Centroid,322.2,292.2,321.9,321.9
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
423,1.72861E-07,4.0047E-07,2.23341E-06,2.23341E-06
424,3.29854E-07,2.00779E-07,7.52711E-07,7.52711E-07
425,2.08635E-06,1.47819E-06,2.78721E-06,2.78721E-06
426,6.2829E-06,2.75927E-06,4.82705E-06,4.82705E-06
427,1.03005E-05,9.68852E-06,1.77142E-05,1.77142E-05
428,8.18172E-06,1.23593E-05,2.2517E-05,2.2517E-05
429,1.75632E-06,9.42988E-06,1.67083E-05,1.67083E-05
430,8.79517E-07,4.60957E-06,7.89874E-06,7.89874E-06
431,6.42902E-07,6.81892E-07,1.11069E-06,1.11069E-06
432,4.06583E-07,3.40733E-07,5.54998E-07,5.54998E-07
433,1.21826E-07,2.86464E-07,4.51536E-07,4.51536E-07
434,8.94998E-08,2.32263E-07,3.48203E-07,3.48203E-07
435,5.72137E-08,7.93921E-08,8.93759E-08,8.93759E-08
436,8.80796E-08,2.14087E-08,7.6391E-08,7.6391E-08
437,6.46901E-08,6.38851E-08,6.35227E-08,6.35227E-08
438,5.81927E-08,7.50936E-08,8.27016E-08,8.27016E-08
439,6.41724E-08,6.32084E-08,6.27745E-08,6.27745E-08
440,6.50284E-08,6.08169E-08,5.89211E-08,5.89211E-08
441,6.29536E-08,6.34749E-08,6.37095E-08,6.37095E-08
442,6.23669E-08,6.33932E-08,6.38553E-08,6.38553E-08
443,6.23914E-08,6.21948E-08,6.21063E-08,6.21063E-08
444,6.20094E-08,6.17641E-08,6.16536E-08,6.16536E-08
445,6.15066E-08,6.15713E-08,6.16004E-08,6.16004E-08
446,6.10099E-08,6.10672E-08,6.10929E-08,6.10929E-08
447,6.05457E-08,6.0526E-08,6.05172E-08,6.05172E-08
448,6.00599E-08,6.00469E-08,6.00412E-08,6.00412E-08
449,5.95777E-08,5.95834E-08,5.95859E-08,5.95859E-08
450,5.91104E-08,5.91133E-08,5.91144E-08,5.91144E-08
451,5.85942E-08,5.85924E-08,5.85922E-08,5.85922E-08
452,5.8085E-08,5.80842E-08,5.80846E-08,5.80846E-08
453,5.75845E-08,5.75857E-08,5.75836E-08,5.75836E-08
454,5.70931E-08,5.70939E-08,5.70918E-08,5.70918E-08
455,5.661E-08,5.66071E-08,5.66164E-08,5.66164E-08
456,5.60244E-08,5.60225E-08,5.60286E-08,5.60286E-08
457,5.54507E-08,5.54619E-08,5.54244E-08,5.54244E-08
458,5.48888E-08,5.48929E-08,5.4879E-08,5.4879E-08
