peak_rank,dataset,param_set,channel,sample_id,trial,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
8,diameter,1mm,Middle,diameter__1mm__middle,,406.0,406.2645502645503,406.3,9.62e-06,9.884550264550263e-06
9,diameter,1mm,Middle,diameter__1mm__middle,,329.0,329.07169459962756,329.1,4.59e-06,4.603801210428305e-06
10,diameter,1mm,Middle,diameter__1mm__middle,,423.0,423.0549180327869,423.1,1.09e-06,1.0918397540983605e-06
1,diameter,1mm,Tip,diameter__1mm__tip,,336.0,335.8213367609255,335.8,0.000104,0.00010462085475578405
2,diameter,1mm,Tip,diameter__1mm__tip,,391.0,390.6140350877193,390.6,3.51e-05,3.5949122807017543e-05
3,diameter,1mm,Tip,diameter__1mm__tip,,356.0,356.31516587677726,356.3,3.49e-05,3.594792654028436e-05
4,diameter,1mm,Tip,diameter__1mm__tip,,314.0,314.20542635658916,314.2,3.12e-05,3.174437984496124e-05
5,diameter,1mm,Tip,diameter__1mm__tip,,379.0,379.3660084626234,379.4,1.01e-05,1.0574895980253878e-05
6,diameter,1mm,Tip,diameter__1mm__tip,,310.0,309.90167753960856,309.9,1.25e-06,1.2551865097856478e-06
7,diameter,1mm,Tip,diameter__1mm__tip,,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07
8,diameter,1mm,Tip,diameter__1mm__tip,,375.0,375.0187319884726,375.0,3.25e-07,3.2506087896253604e-07
9,diameter,1mm,Tip,diameter__1mm__tip,,306.0,305.8279569892473,305.8,2.45e-07,2.47752688172043e-07
10,diameter,1mm,Tip,diameter__1mm__tip,,398.0,397.566852367688,397.6,1.86e-07,2.0283861420612812e-07
